Time,BicepsBrachiiR
20.96446,2.67E-05
20.96498,2.87E-05
20.9655,2.90E-05
20.96602,3.04E-05
20.96654,3.21E-05
20.96706,2.92E-05
20.96758,2.20E-05
20.9681,1.70E-05
20.96862,1.76E-05
20.96914,2.72E-05
20.96965,4.25E-05
20.97017,5.35E-05
20.97069,5.52E-05
20.97121,4.88E-05
20.97173,3.99E-05
20.97225,3.24E-05
20.97277,3.11E-05
20.97329,3.66E-05
20.97381,4.26E-05
20.97433,4.52E-05
20.97485,4.41E-05
20.97536,4.35E-05
20.97589,4.36E-05
20.9764,4.28E-05
20.97692,4.08E-05
20.97744,3.91E-05
20.97796,3.68E-05
20.97848,3.29E-05
20.979,2.90E-05
20.97952,2.40E-05
20.98004,1.83E-05
20.98056,1.31E-05
20.98108,8.90E-06
20.9816,5.20E-06
20.98211,2.85E-06
20.98264,4.87E-06
20.98315,8.73E-06
20.98367,1.06E-05
20.98419,1.04E-05
20.98471,1.16E-05
20.98523,1.17E-05
20.98575,1.06E-05
20.98627,1.26E-05
20.98679,1.80E-05
20.98731,2.38E-05
20.98783,2.67E-05
20.98835,2.33E-05
20.98886,1.64E-05
20.98939,9.57E-06
20.9899,3.02E-06
20.99042,-1.51E-06
20.99094,-2.85E-06
20.99146,-3.52E-06
20.99198,-5.54E-06
20.9925,-6.21E-06
20.99302,-3.86E-06
20.99354,-3.36E-07
20.99406,1.51E-06
20.99458,0
20.9951,-3.19E-06
20.99562,-4.20E-06
20.99614,4.87E-06
20.99665,2.27E-05
20.99717,4.01E-05
20.99769,5.02E-05
20.99821,5.22E-05
20.99873,4.58E-05
20.99925,3.61E-05
20.99977,3.21E-05
21.00029,3.29E-05
21.00081,3.04E-05
21.00133,2.38E-05
21.00185,1.59E-05
21.00237,9.90E-06
21.00288,9.90E-06
21.0034,1.90E-05
21.00392,3.27E-05
21.00444,3.89E-05
21.00496,3.31E-05
21.00548,2.48E-05
21.006,2.53E-05
21.00652,3.17E-05
21.00704,3.47E-05
21.00756,3.00E-05
21.00808,2.17E-05
21.0086,1.88E-05
21.00912,2.47E-05
21.00963,3.37E-05
21.01015,4.10E-05
21.01067,4.20E-05
21.01119,3.47E-05
21.01171,2.47E-05
21.01223,1.46E-05
21.01275,1.06E-05
21.01327,1.56E-05
21.01379,2.13E-05
21.01431,2.43E-05
21.01483,2.74E-05
21.01535,3.19E-05
21.01587,3.51E-05
21.01638,3.41E-05
21.0169,2.90E-05
21.01742,1.86E-05
21.01794,2.69E-06
21.01846,-7.89E-06
21.01898,-6.21E-06
21.0195,1.85E-06
21.02002,1.23E-05
21.02054,2.40E-05
21.02106,3.71E-05
21.02158,4.73E-05
21.0221,4.95E-05
21.02262,4.53E-05
21.02313,4.52E-05
21.02365,5.39E-05
21.02417,6.24E-05
21.02469,5.94E-05
21.02521,4.21E-05
21.02573,1.83E-05
21.02625,-5.04E-06
21.02677,-1.93E-05
21.02729,-1.91E-05
21.02781,-7.72E-06
21.02833,4.87E-06
21.02885,1.14E-05
21.02937,1.26E-05
21.02988,8.56E-06
21.03041,3.69E-06
21.03092,2.85E-06
21.03144,9.74E-06
21.03196,2.11E-05
21.03248,2.79E-05
21.033,2.75E-05
21.03352,2.03E-05
21.03404,1.23E-05
21.03456,6.88E-06
21.03508,1.85E-06
21.0356,-4.03E-06
21.03612,-7.55E-06
21.03663,-5.20E-06
21.03715,6.71E-07
21.03767,8.56E-06
21.03819,2.27E-05
21.03871,4.06E-05
21.03923,5.24E-05
21.03975,5.74E-05
21.04027,5.93E-05
21.04079,5.81E-05
21.04131,5.52E-05
21.04183,5.35E-05
21.04235,5.34E-05
21.04287,5.05E-05
21.04338,4.15E-05
21.0439,2.62E-05
21.04442,9.74E-06
21.04494,-6.71E-07
21.04546,-4.87E-06
21.04598,-3.86E-06
21.0465,2.18E-06
21.04702,5.54E-06
21.04754,9.23E-06
21.04806,2.00E-05
21.04858,3.21E-05
21.0491,3.94E-05
21.04962,4.45E-05
21.05013,4.85E-05
21.05065,4.90E-05
21.05117,4.18E-05
21.05169,3.27E-05
21.05221,3.21E-05
21.05273,3.81E-05
21.05325,4.68E-05
21.05377,5.79E-05
21.05429,6.97E-05
21.05481,7.75E-05
21.05533,7.69E-05
21.05585,7.07E-05
21.05637,5.86E-05
21.05688,4.20E-05
21.0574,2.52E-05
21.05792,1.04E-05
21.05844,6.71E-07
21.05896,-1.85E-06
21.05948,2.52E-06
21.06,1.19E-05
21.06052,1.98E-05
21.06104,2.32E-05
21.06156,2.33E-05
21.06208,2.48E-05
21.0626,3.24E-05
21.06312,4.18E-05
21.06363,4.62E-05
21.06415,4.38E-05
21.06467,3.66E-05
21.06519,3.02E-05
21.06571,3.14E-05
21.06623,3.74E-05
21.06675,4.50E-05
21.06727,4.97E-05
21.06779,4.97E-05
21.06831,4.20E-05
21.06883,2.74E-05
21.06935,1.43E-05
21.06987,9.40E-06
21.07038,1.26E-05
21.0709,1.91E-05
21.07142,2.32E-05
21.07194,2.20E-05
21.07246,1.98E-05
21.07298,2.17E-05
21.0735,2.45E-05
21.07402,2.13E-05
21.07454,1.58E-05
21.07506,1.43E-05
21.07558,1.49E-05
21.0761,1.43E-05
21.07662,1.33E-05
